ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP
292190;Interior;Mucugê;42ª CIPM - Lençóis;Chapada;Chapada Diamantina
292200;Interior;Mucuri;89ª CIPM - Mucuri;Extremo Sul;Extremo Sul
292205;Interior;Mulungu Do Morro;7º BPM - Irecê;Meio-Oeste;Irecê
292210;Interior;Mundo Novo;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu
292220;Interior;Muniz Ferreira;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo
292225;Interior;Muquém Do São Francisco;28ª CIPM - Ibotirama;Meio-Oeste;Velho Chico
292230;Interior;Muritiba;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo
292240;Interior;Mutuípe;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo
292250;Interior;Nazaré;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo
292260;Interior;Nilo Peçanha;33ª CIPM - Valença;Recôncavo;Baixo Sul
292265;Interior;Nordestina;16º BPM - Serrinha;Nordeste;Sisal
292270;Interior;Nova Canaã;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
292273;Interior;Nova Fátima;90ª CIPM - Riachão do Jacuípe;Chapada;Bacia do Jacuípe
292275;Interior;Nova Ibiá;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
292280;Interior;Nova Itarana;93ª CIPM - Maracás;Recôncavo;Vale do Jiquiriçá
292285;Interior;Nova Redenção;42ª CIPM - Lençóis;Chapada;Chapada Diamantina
292290;Interior;Nova Soure;21ª CIPM - Cipó;Nordeste;Semiárido
292300;Interior;Nova Viçosa;89ª CIPM - Mucuri;Extremo Sul;Extremo Sul
292303;Interior;Novo Horizonte;29ª CIPM - Seabra;Chapada;Chapada Diamantina
292305;Interior;Novo Triunfo;5º BPM - Euclides da Cunha;Nordeste;Semiárido
292310;Interior;Olindina;6ª CIPM - Rio Real;Leste;Litoral Norte Agreste Baiano
292320;Interior;Oliveira Dos Brejinhos;28ª CIPM - Ibotirama;Meio-Oeste;Velho Chico
292330;Interior;Ouriçangas;97ª CIPM - Irará;Leste;Portal do Sertão
292335;Interior;Ourolândia;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
292340;Interior;Palmas De Monte Alto;17º BPM - Guanambi;Sudoeste;Sertão Produtivo
292350;Interior;Palmeiras;42ª CIPM - Lençóis;Chapada;Chapada Diamantina
292360;Interior;Paramirim;46ª CIPM - Livramento de Nossa Senhora;Sudoeste;Sertão Produtivo
292370;Interior;Paratinga;28ª CIPM - Ibotirama;Meio-Oeste;Velho Chico
292380;Interior;Paripiranga;21ª CIPM - Cipó;Nordeste;Semiárido
292390;Interior;Pau Brasil;62ª CIPM - Camacan;Sul;Litoral Sul
292400;Interior;Paulo Afonso;20º BPM - Paulo Afonso;Nordeste;Itaparica
292405;Interior;Pé De Serra;90ª CIPM - Riachão do Jacuípe;Chapada;Bacia do Jacuípe
292410;Interior;Pedrão;4º BPM - Alagoinhas;Leste;Litoral Norte Agreste Baiano
292420;Interior;Pedro Alexandre;20º BPM - Paulo Afonso;Nordeste;Itaparica
292430;Interior;Piatã;29ª CIPM - Seabra;Chapada;Chapada Diamantina
292440;Interior;Pilão Arcado;25ª CIPM - Casa Nova;Norte;Sertão do São Francisco
292450;Interior;Pindaí;17º BPM - Guanambi;Sudoeste;Sertão Produtivo
292460;Interior;Pindobaçu;54ª CIPM - Campo Formoso;Norte;Piemonte Norte do Itapicuru
292465;Interior;Pintadas;98ª CIPM - Ipirá;Chapada;Bacia do Jacuípe
292467;Interior;Piraí Do Norte;60ª CIPM - Gandu;Recôncavo;Baixo Sul
292470;Interior;Piripá;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano
292480;Interior;Piritiba;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
292490;Interior;Planaltino;93ª CIPM - Maracás;Recôncavo;Vale do Jiquiriçá
292500;Interior;Planalto;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano
